N,P,K,pH,Moisture,Soil_Health
37.454011884736246,51.908178513621806,67.2702994208898,7.196846791528749,64.8256954077822,61.0848231607077
95.07143064099162,47.9181877629731,79.66813971913723,6.811685348468872,17.238636210516624,70.47874533427165
73.1993941811405,2.5642065806435688,25.046789879249896,5.796830366817883,87.23945633548149,40.88561399313084
59.86584841970366,34.12478276261564,62.48740996069989,4.529089610053697,61.311623906924154,49.63859579563969
15.601864044243651,38.019561878585705,57.17459831437487,6.733076498553663,15.720388355695425,47.911425218735396
15.599452033620265,39.88227808969005,83.28303767882711,5.7853169485300935,96.23380574812069,44.751781072510475
5.8083612168199465,58.017236922733225,90.60870604812605,7.805737353197408,51.83654633353206,58.679409912709026
86.61761457749351,53.360254672687844,1.2156771477386807,4.607758193717176,7.289845187165501,34.492884099119706
60.11150117432088,60.79050927934446,67.40199190587927,7.1317251508760595,62.68329044150672,68.96966071951678
70.80725777960456,76.48832615421283,5.1835799119729025,8.736634068777295,25.31989070128102,42.26341197979799
2.0584494295802447,81.29857387160935,54.88586650773559,5.2848417020017475,80.36934518773025,45.059307559614325
96.99098521619943,71.81230762264944,28.76327290436782,6.6224227083776785,81.78220735661907,66.65111716003418
83.24426408004217,95.55236959549347,30.67765995221412,4.911398963177122,97.89473558546618,48.399691877282706
21.233911067827616,1.823258267636163,35.29585034523566,7.315568605176087,50.186953102450374,45.93730500447266
18.182496720710063,19.57779856835461,62.12924490496101,6.977392562683015,45.495687972773716,56.02220197735151
18.34045098534338,0.756287497814212,33.40499656687692,6.333144858957746,75.34756054464806,40.084845203873456
30.42422429595377,64.7474714154603,73.26990505902803,6.846196596631835,13.247065634192657,57.82383015591756
52.475643163223786,89.8030548949987,40.45273855738697,8.534585963110546,54.69155137931242,57.1939628747413
43.194501864211574,24.34822965762993,6.835320030995861,5.3833243603998016,54.624760013085094,43.74719515807331
29.122914019804192,92.70345447963066,78.37598424841073,4.601540302674063,8.947312281038721,46.91852171753332
61.18528947223795,6.026739028956085,28.5758324592706,8.377491981145955,41.798408550691356,39.30928233839775
